text,count,mean_combined_score,std_combined_score,max_combined_score,mean_comp_deviation,mean_norm_shift,n_tokens,is_ner
arus which forbids,1,1.5480980489186005,0.0,1.5480980489186005,0.4306640625,3.0797177785465,3,True
£20 hardbacks,1,1.54156093824062,0.0,1.54156093824062,0.36474609375,3.1469931659140493,2,True
Phillips (November,1,1.4520466757422734,0.0,1.4520466757422734,0.36083984375,2.7927448631838088,2,True
fiery force engulfs,1,1.4420380307849194,0.0,1.4420380307849194,0.42138671875,2.7996141199310487,3,True
-Smith and starring,1,1.436620149326006,0.0,1.436620149326006,0.45703125,2.67190315651814,3,False
"Windmill, in 1",1,1.4252016850243063,0.0,1.4252016850243063,0.56201171875,2.5430762340451407,3,True
time of last access (),1,1.4234819949245407,0.0,1.4234819949245407,0.33740234375,2.902088776373852,5,True
bildenden Künste,1,1.3967395226836965,0.0,1.3967395226836965,0.45556640625,2.6824005645217404,2,False
hospital located on Louisiana Highway,1,1.3961649522311472,0.0,1.3961649522311472,0.516357421875,2.531031277062243,5,True
-day Machiavelli,1,1.3691922953102136,0.0,1.3691922953102136,0.52490234375,2.554206324213034,2,False
"()
 ctime:",1,1.368871443633184,0.0,1.368871443633184,0.2451171875,2.77990565986421,2,True
14 cm long.,1,1.3605922652459332,0.0,1.3605922652459332,0.35498046875,2.677725780302333,3,True
icentennial Park at,1,1.3467332782620196,0.0,1.3467332782620196,0.43359375,2.5139279222175483,3,True
USIC-PARTY.,1,1.3428487425374755,0.0,1.3428487425374755,0.4775390625,2.433019073140564,1,True
"- ""Bone marrow",1,1.3423029891462823,0.0,1.3423029891462823,0.3583984375,2.6918170431782054,3,True
6 and,1,1.3401704876668363,0.0,1.3401704876668363,0.373046875,2.505409739674904,2,False
des études économiques,1,1.339324641593164,0.0,1.339324641593164,0.53125,2.46171492429541,3,False
"Hausmichl"".",1,1.3318761914747903,0.0,1.3318761914747903,0.693603515625,2.147737048511195,1,True
scales are thin and flexible.,1,1.3289013792996638,0.0,1.3289013792996638,0.502685546875,2.5331909482491595,5,True
for best supporting actor.,1,1.325007906225616,0.0,1.325007906225616,0.667724609375,2.1837661034546647,4,True
envoys,1,1.3248930574121456,0.0,1.3248930574121456,0.337890625,2.637305885717864,1,False
Biennale.,1,1.322682153482551,0.0,1.322682153482551,0.53076171875,2.2684515995266894,1,True
of the region.,1,1.3212055001002447,0.0,1.3212055001002447,0.5595703125,2.270726152594362,3,True
in Tuscia.,1,1.3207763017919527,0.0,1.3207763017919527,0.49951171875,2.3822630201048813,2,True
may also refer to:,1,1.318438860640951,0.0,1.318438860640951,0.677490234375,2.178390852774252,4,True
de Spirou,1,1.316893126548834,0.0,1.316893126548834,0.40576171875,2.5026209999658344,2,True
Garden is a,1,1.3132441277008975,0.0,1.3132441277008975,0.34033203125,2.547209440345993,3,False
in Pristava.,1,1.309587983445862,0.0,1.309587983445862,0.574462890625,2.2070410950892647,2,True
plagued,1,1.308720763180263,0.0,1.308720763180263,0.37255859375,2.5773439001381586,1,True
d'Argento,1,1.3083851720009216,0.0,1.3083851720009216,0.4609375,2.4928867581273035,1,False
7 feet; draug,1,1.3027729553538654,0.0,1.3027729553538654,0.46044921875,2.3973132477596635,3,True
tied-arch bridge.,1,1.3016983031088296,0.0,1.3016983031088296,0.4873046875,2.287448882772074,2,True
dr Fuchs.,1,1.2932440907869092,0.0,1.2932440907869092,0.8038330078125,1.943742551186023,2,True
the championship playoff game against,1,1.290506443631298,0.0,1.290506443631298,0.48193359375,2.3798305622032445,5,True
can be found there.,1,1.2848042070223298,0.0,1.2848042070223298,0.6728515625,2.0500155834737925,4,True
definition was published in,1,1.2833677578132043,0.0,1.2833677578132043,0.44482421875,2.347518515626761,4,True
Stevo Pearce,1,1.2799742829753495,0.0,1.2799742829753495,0.22412109375,2.601547035563374,2,True
CompuServe,4,1.2747704693533704,0.0620765107742204,1.360985785124277,0.47357177734375,2.4260008804146755,1,True
Jim Bridenstine,1,1.2686843454997891,0.0,1.2686843454997891,0.47265625,2.2790717035932224,2,True
qui font du bien (,1,1.267883454639278,0.0,1.267883454639278,0.7535400390625,1.976654437379445,5,True
40. The Windmill,1,1.2646639631699357,0.0,1.2646639631699357,0.31884765625,2.469399165737339,3,True
site on the CompuSer,1,1.2638056424512436,0.0,1.2638056424512436,0.45361328125,2.2981859811281087,4,True
coquilles vivantes,1,1.263387119652403,0.0,1.263387119652403,0.2626953125,2.541890650693507,2,True
He was a pupil of,1,1.2618352232548489,0.0,1.2618352232548489,0.32470703125,2.534959151887122,5,True
heil am geistigen,1,1.261008912713754,0.0,1.261008912713754,0.296875,2.464839176315635,3,False
his career. With Porte,1,1.2576135057144628,0.0,1.2576135057144628,0.55224609375,2.237783764286157,4,True
use of the same serum,1,1.257134323098392,0.0,1.257134323098392,0.291015625,2.56056041712098,5,True
", Alaska, United States.",1,1.2556620164848604,0.0,1.2556620164848604,0.298828125,2.461786877149651,4,True
of Corrections,1,1.2529520615298284,0.0,1.2529520615298284,0.34326171875,2.456476833512071,2,True
th century and 1,1,1.2520455899525735,0.0,1.2520455899525735,0.6181640625,2.034456626248621,4,True
appia suaedifolia,1,1.2507164882166808,0.0,1.2507164882166808,0.4970703125,2.208761435385452,2,True
After the Space Shuttle,1,1.249968642399462,0.0,1.249968642399462,0.3046875,2.393842504436155,4,True
Sean Hannity,1,1.248687189330337,0.0,1.248687189330337,0.341796875,2.3498673873883424,2,True
Anchises,1,1.2477814288782056,0.0,1.2477814288782056,0.3701171875,2.4724809159455137,1,False
embezzling,1,1.2475396268967422,0.0,1.2475396268967422,0.5166015625,2.293775825054356,1,False
city was partitioned in,1,1.2451199596279128,0.0,1.2451199596279128,0.47412109375,2.279792086569782,4,True
".

In 1",1,1.2449626519591177,0.0,1.2449626519591177,0.543212890625,2.1682537978665435,3,True
It was the club',1,1.2396322219813902,0.0,1.2396322219813902,0.458984375,2.260945789328476,4,False
Armaan Verma,1,1.2382715965279518,0.0,1.2382715965279518,0.42333984375,2.2823244991323794,2,True
".

Commerc",1,1.238196322246805,0.0,1.238196322246805,0.620849609375,2.0572217626482625,2,False
", Stevo Pearce",1,1.2377632383358632,0.0,1.2377632383358632,0.36376953125,2.384569228652158,3,True
s Home Companion.,1,1.2356322097100807,0.0,1.2356322097100807,0.49658203125,2.1077267645095765,3,False
knee-breeches,1,1.2342773421442543,0.0,1.2342773421442543,0.44970703125,2.361450191298136,1,False
s basketball team.,1,1.2299650058616296,0.0,1.2299650058616296,0.5849609375,2.0234598779353234,3,False
2016 was,1,1.2293068297943444,0.0,1.2293068297943444,0.2998046875,2.317010970970236,2,True
–29 UCLA,1,1.2281151992095545,0.0,1.2281151992095545,0.3662109375,2.2856200292738857,2,True
", studying for a Ph.",1,1.2277934673805055,0.0,1.2277934673805055,0.62060546875,1.9896496840762632,5,True
hill above the settlement.,1,1.2276297585131075,0.0,1.2276297585131075,0.656005859375,1.9335610906187064,4,True
of Bendigo,1,1.2268592665371132,0.0,1.2268592665371132,0.41943359375,2.289071994467782,2,True
Jacques Krauss.,1,1.2265262590790629,0.0,1.2265262590790629,0.519775390625,2.0553827253343755,2,True
latitudes and longitudes,1,1.2261873295401984,0.0,1.2261873295401984,0.20263671875,2.552406800412996,3,True
antidote,1,1.2251908846822277,0.0,1.2251908846822277,0.4365234375,2.2947887351430696,1,False
"area.

U.",1,1.2225754021359423,0.0,1.2225754021359423,0.4833984375,2.1265984174492307,2,False
"90 m
Height",1,1.2198183660562252,0.0,1.2198183660562252,0.3349609375,2.312851579203063,3,True
s distant from the Sun.,1,1.2197670948423662,0.0,1.2197670948423662,0.36474609375,2.3682653933559155,5,True
north of the county seat,1,1.219032711943528,0.0,1.219032711943528,0.208984375,2.46835814704632,5,True
Kokand Khanate,1,1.2183474731866577,0.0,1.2183474731866577,0.43896484375,2.268158722029144,2,True
Loja Province).,1,1.218304435411905,0.0,1.218304435411905,0.3798828125,2.183715800443825,2,True
Black Lives Matter,1,1.2152864677349997,0.0,1.2152864677349997,0.37646484375,2.3420491771499985,3,True
play for the program.,1,1.2141892296140608,0.0,1.2141892296140608,0.31201171875,2.397777761535152,4,True
faculties,1,1.209275710402285,0.0,1.209275710402285,0.3486328125,2.3977009947557124,1,True
lawn jockey. Jenson,1,1.2085205198458504,0.0,1.2085205198458504,0.46435546875,2.129516631645876,3,True
-fashioned,1,1.2075790212136797,0.0,1.2075790212136797,0.28466796875,2.498439740534199,1,True
& Survive,1,1.2060977785450984,0.0,1.2060977785450984,0.458984375,2.150254211987746,2,True
", Michigan facility in 1",1,1.2056561231446523,0.0,1.2056561231446523,0.5615234375,1.986613452392881,5,True
Blanchfield',1,1.2038574040158865,0.0,1.2038574040158865,0.376953125,2.186279252227216,1,True
work started in January 2,1,1.2037015378228255,0.0,1.2037015378228255,0.533203125,2.0251840203383136,5,True
ix). In the children',1,1.203218020639602,0.0,1.203218020639602,0.380859375,2.2117804031615047,4,False
and minor league baseball player.,1,1.1991890387109967,0.0,1.1991890387109967,0.514892578125,2.1238270889649917,5,True
specific wording in Article,1,1.1988450136441298,0.0,1.1988450136441298,0.38720703125,2.2090876317665744,4,True
instead using a Doepfer,1,1.1959269515754238,0.0,1.1959269515754238,0.330078125,2.232737300813559,4,True
ati is on Arkansas Highway,1,1.195644738220746,0.0,1.195644738220746,0.49853515625,2.099646513520615,5,True
American writer.,1,1.1954558789167933,0.0,1.1954558789167933,0.34375,2.190574511745108,2,True
is returned and errno,1,1.194824265614116,0.0,1.194824265614116,0.18994140625,2.5272217968477904,4,False
łowo-Handlowy,1,1.194253341928907,0.0,1.194253341928907,0.3515625,2.366370659509767,1,True
Places in,1,1.1940367168376482,0.0,1.1940367168376482,0.37255859375,2.1817470655316207,2,True
continues due east to SH-,1,1.1936227571577112,0.0,1.1936227571577112,0.585205078125,1.9714836507067777,5,False
United States House of Representatives,1,1.1926901844990028,0.0,1.1926901844990028,0.2763671875,2.300695187810007,5,True
Concepts also sued,1,1.1912694027661666,0.0,1.1912694027661666,0.44140625,2.1609127647279163,3,False
"3 m
Width",1,1.1911112435294935,0.0,1.1911112435294935,0.2744140625,2.2638193685893597,3,True
Belfast,1,1.1899189290385963,0.0,1.1899189290385963,0.39404296875,2.26788814290899,1,True
Beara,2,1.189761675728533,0.0494869236991272,1.23924859942766,0.16796875,2.484169814321332,1,True
heat-seeking missile,1,1.1896026564330506,0.0,1.1896026564330506,0.3740234375,2.2367019535826267,2,True
final since defeat in 1,1,1.189361947893942,0.0,1.189361947893942,0.58984375,1.980484947859855,5,True
"film, a growth serum",1,1.1883831883357183,0.0,1.1883831883357183,0.3056640625,2.3619491817767964,4,True
"Sinha, and starring",1,1.1881479883916393,0.0,1.1881479883916393,0.38671875,2.1544520022290983,3,False
-Bretonneux,1,1.186927356909884,0.0,1.186927356909884,0.504638671875,2.1070889000872093,1,True
3.772.,1,1.1868268272068767,0.0,1.1868268272068767,0.32958984375,2.313014333642191,1,True
Power to weight ratio,1,1.186793771210648,0.0,1.186793771210648,0.462890625,2.22259966240162,4,True
ian scriptwriter Zidrou,1,1.1856350207267472,0.0,1.1856350207267472,0.43798828125,2.1514654815043674,3,True
20 November 1,1,1.1848399484350576,0.0,1.1848399484350576,0.48583984375,2.015169939447019,3,True
facing hillside overlooking,1,1.1836775471806544,0.0,1.1836775471806544,0.39501953125,2.134181660920386,3,True
Axial MG,1,1.1831061413414885,0.0,1.1831061413414885,0.43798828125,2.1640641814787203,2,False
"volumes, released from May",1,1.1829500548196796,0.0,1.1829500548196796,0.577392578125,2.0315938870491985,4,True
ique. In Guthrie,1,1.1822472785866245,0.0,1.1822472785866245,0.37744140625,2.184316926935311,3,True
headquarter,2,1.182082771309759,0.0230844129582818,1.205167184268041,0.3232421875,2.2162237739775223,1,False
apalle (Telugu,1,1.180683364646265,0.0,1.180683364646265,0.43310546875,2.1122919077094124,2,True
Famille,1,1.1800467148842697,0.0,1.1800467148842697,0.2998046875,2.272870693460673,1,True
fredini (Cremona,1,1.179606189371369,0.0,1.179606189371369,0.38818359375,2.148173188272172,2,True
brownish terminally.,1,1.1794768957474888,0.0,1.1794768957474888,0.6005859375,1.943931497181222,2,True
Institut national de la statistique,1,1.1793330375652442,0.0,1.1793330375652442,0.2705078125,2.3927906017256104,5,True
-knit tapestries,1,1.178327329776487,0.0,1.178327329776487,0.554443359375,2.028337855691216,2,False
slender wing  long.,1,1.177315299015545,0.0,1.177315299015545,0.4306640625,2.140798013163862,3,True
ridevi's mother,1,1.1754312874842816,0.0,1.1754312874842816,0.32275390625,2.257914156210704,2,False
vi's father,1,1.1743617459227973,0.0,1.1743617459227973,0.314453125,2.227103095275743,2,True
national team. On May,1,1.1734871337668809,0.0,1.1734871337668809,0.658447265625,1.844423400823452,4,True
. After the resumption,1,1.1723939577487987,0.0,1.1723939577487987,0.2939453125,2.2359165349969965,4,True
", the Anti-Corruption",1,1.1703756771518066,0.0,1.1703756771518066,0.3359375,2.2012077475670164,3,False
30- Cremona,1,1.1698108465100323,0.0,1.1698108465100323,0.34130859375,2.1683625654938314,2,True
Shahana Goswami,1,1.168468194415838,0.0,1.168468194415838,0.5068359375,2.011258376664595,2,True
and a revision in,1,1.1677269939485948,0.0,1.1677269939485948,0.534423828125,2.016241312996487,4,False
2013.,1,1.1665140497493625,0.0,1.1665140497493625,0.43212890625,2.038172331404656,1,True
smear,1,1.1634914226982027,0.0,1.1634914226982027,0.25634765625,2.436072306745507,1,False
", which took place on",1,1.163094666238106,0.0,1.163094666238106,0.3955078125,2.116965181220265,5,True
ett and Paul Alexander.,1,1.1621764719743657,0.0,1.1621764719743657,0.587890625,1.8981169611859137,4,True
Borsod comitatus,1,1.1608199587513324,0.0,1.1608199587513324,0.48193359375,2.1270254828158306,2,True
Only twelve of these pedals,1,1.160013966255392,0.0,1.160013966255392,0.32666015625,2.2650251500134804,5,True
which opened in 19,1,1.1597378699132035,0.0,1.1597378699132035,0.555419921875,1.9387123505642587,4,True
paragliding,1,1.1583101504300377,0.0,1.1583101504300377,0.43994140625,2.1317372901375937,1,True
system) and Ab.,1,1.1576696422383257,0.0,1.1576696422383257,0.48779296875,2.0115447110645635,3,True
Electron Positron,1,1.1575582981610024,0.0,1.1575582981610024,0.33349609375,2.328954339152506,2,True
Mollie Jenson’,1,1.1574695545282638,0.0,1.1574695545282638,0.48291015625,2.04992388632066,2,True
Spitfires,1,1.1559788324187688,0.0,1.1559788324187688,0.4775390625,2.111138487296921,1,True
edium species are deciduous,1,1.1554113617130624,0.0,1.1554113617130624,0.25244140625,2.273660240220156,4,True
episodes on Sundays at,1,1.1551794609694568,0.0,1.1551794609694568,0.45703125,2.029916425861141,4,True
in department in eastern France.,1,1.1545527546654395,0.0,1.1545527546654395,0.3779296875,2.086577199163599,5,True
"elago, Eastern Brasil.",1,1.1534417930030174,0.0,1.1534417930030174,0.30224609375,2.1336350000856683,3,True
and the CFL Line,1,1.1530791326910188,0.0,1.1530791326910188,0.400390625,2.1409986129775467,4,True
entitlement,1,1.1507818270472152,0.0,1.1507818270472152,0.3662109375,2.1987319113680384,1,True
934 in neighboring,1,1.1506382103933477,0.0,1.1506382103933477,0.22509765625,2.2802820494208693,3,True
"Pradesh state, India.",1,1.149812541758705,0.0,1.149812541758705,0.27783203125,2.2347608465842628,3,True
