text,count,mean_combined_score,std_combined_score,max_combined_score,mean_comp_deviation,mean_norm_shift,n_tokens,is_ner,category,compositionality,confidence
arus which forbids,1,1.5480980489186005,0.0,1.5480980489186005,0.4306640625,3.0797177785465,3,True,fragment,0.0,0.95
icentennial Park at,1,1.3467332782620196,0.0,1.3467332782620196,0.43359375,2.5139279222175483,3,True,fragment,0.0,0.95
may also refer to:,1,1.318438860640951,0.0,1.318438860640951,0.677490234375,2.178390852774252,4,True,fixed_expression,0.9,0.9
CompuServe,4,1.2747704693533704,0.0620765107742204,1.360985785124277,0.47357177734375,2.4260008804146755,1,True,named_entity,0.0,1.0
th century and 1,1,1.2520455899525735,0.0,1.2520455899525735,0.6181640625,2.034456626248621,4,True,fragment,0.0,0.95
knee-breeches,1,1.2342773421442543,0.0,1.2342773421442543,0.44970703125,2.361450191298136,1,False,compound_word,0.7,0.95
s distant from the Sun.,1,1.2197670948423662,0.0,1.2197670948423662,0.36474609375,2.3682653933559155,5,True,fragment,0.0,0.95
work started in January 2,1,1.2037015378228255,0.0,1.2037015378228255,0.533203125,2.0251840203383136,5,True,fragment,0.0,0.95
"3 m
Width",1,1.1911112435294935,0.0,1.1911112435294935,0.2744140625,2.2638193685893597,3,True,fragment,0.0,0.95
facing hillside overlooking,1,1.1836775471806544,0.0,1.1836775471806544,0.39501953125,2.134181660920386,3,True,compositional_phrase,1.0,0.9
vi's father,1,1.1743617459227973,0.0,1.1743617459227973,0.314453125,2.227103095275743,2,True,compositional_phrase,1.0,0.9
Only twelve of these pedals,1,1.160013966255392,0.0,1.160013966255392,0.32666015625,2.2650251500134804,5,True,compositional_phrase,1.0,0.9
entitlement,1,1.1507818270472152,0.0,1.1507818270472152,0.3662109375,2.1987319113680384,1,True,technical_term,0.8,0.95
bowstring' girder,1,1.1431632036561334,0.0,1.1431632036561334,0.2021484375,2.339231251327833,2,False,technical_term,0.7,0.9
Punishments,1,1.1367050921278967,0.0,1.1367050921278967,0.507080078125,1.9425928084447412,1,True,compositional_phrase,1.0,0.9
