idx,category,compositionality,confidence,text,type
0,fragment,0.0,1.0,<s> A,low_score_baseline
1,fragment,0.0,1.0,<s> M,low_score_baseline
2,fragment,0.0,1.0,<s> D,low_score_baseline
3,fragment,0.0,1.0,<s> H,low_score_baseline
4,fragment,0.0,1.0,<s> The,low_score_baseline
5,fragment,0.0,1.0,<s> What,low_score_baseline
6,fragment,0.0,1.0,<s> In,low_score_baseline
7,fragment,0.0,1.0,<s> In the,low_score_baseline
8,compositional_phrase,1.0,0.9,the Man,low_score_baseline
9,fragment,0.0,1.0,2,low_score_baseline
10,fragment,0.0,1.0,<s> The women,low_score_baseline
11,fragment,0.0,1.0,<s> The Pro,low_score_baseline
12,fragment,0.0,1.0,<s> S,low_score_baseline
13,fragment,0.0,1.0,V,low_score_baseline
14,fragment,0.0,1.0,<s> The N,low_score_baseline
15,fragment,0.0,1.0,. The,low_score_baseline
16,fragment,0.0,1.0,<s> The Ad,low_score_baseline
17,fragment,0.0,1.0,<s> Ed,low_score_baseline
18,named_entity,0.0,0.95,<s> Tom,low_score_baseline
19,fragment,0.0,1.0,8.,low_score_baseline
20,fragment,0.0,1.0,(F,low_score_baseline
21,fragment,0.0,1.0,4,low_score_baseline
22,fragment,0.0,1.0,<s> Life,low_score_baseline
23,fragment,0.0,1.0,<s> Ra,low_score_baseline
24,fragment,0.0,1.0,<s> The de,low_score_baseline
0,named_entity,1.0,0.95,<s> Peter,low_score_baseline
1,fragment,1.0,1.0,97,low_score_baseline
2,named_entity,0.9,0.7,<s> The Central,low_score_baseline
3,fragment,1.0,0.95,<s> The F,low_score_baseline
4,fragment,1.0,1.0,87,low_score_baseline
5,fragment,1.0,1.0,5,low_score_baseline
6,fragment,1.0,1.0,15,low_score_baseline
7,fragment,1.0,0.95,THE M,low_score_baseline
8,fragment,1.0,1.0,3,low_score_baseline
9,fragment,1.0,0.9,in a,low_score_baseline
10,fragment,1.0,0.95,<s> Bur,low_score_baseline
11,fragment,1.0,1.0,", U",low_score_baseline
12,fragment,1.0,1.0,", C",low_score_baseline
13,compositional_phrase,1.0,0.95,on October,low_score_baseline
14,fragment,1.0,1.0,01,low_score_baseline
15,named_entity,1.0,0.7,Tommy B,low_score_baseline
16,named_entity,1.0,0.95,<s> Robert,low_score_baseline
17,fragment,1.0,1.0,; S,low_score_baseline
18,fragment,1.0,1.0,Z,low_score_baseline
19,fragment,1.0,1.0,20,low_score_baseline
20,named_entity,0.9,0.7,The Om,low_score_baseline
21,fragment,1.0,0.95,in P,low_score_baseline
22,fragment,1.0,0.95,Male R,low_score_baseline
23,fragment,1.0,1.0,29,low_score_baseline
24,named_entity,1.0,0.95,<s> Roger,low_score_baseline
0,fragment,0.0,1.0,", J",low_score_baseline
1,fragment,0.0,1.0,from a,low_score_baseline
2,fragment,0.0,1.0,<s> Heinrich,low_score_baseline
3,fragment,0.0,1.0,as Kevin,low_score_baseline
4,fixed_expression,1.0,0.95,for the,low_score_baseline
5,fragment,0.0,1.0,(J,low_score_baseline
6,fragment,0.0,1.0,<s> The A,low_score_baseline
7,fragment,0.0,1.0,: M,low_score_baseline
8,fixed_expression,1.0,0.95,the first,low_score_baseline
9,named_entity,1.0,0.95,<s> Thomas,low_score_baseline
10,fixed_expression,1.0,0.95,in this,low_score_baseline
11,named_entity,1.0,0.95,<s> Nicole,low_score_baseline
12,fragment,0.0,1.0,<s> is a,low_score_baseline
13,named_entity,1.0,0.95,<s> Gary,low_score_baseline
14,fragment,0.0,1.0,7,low_score_baseline
15,fragment,0.0,1.0,the An,low_score_baseline
16,fragment,0.0,1.0,17,low_score_baseline
17,fragment,0.0,1.0,L,low_score_baseline
18,fragment,0.0,1.0,", de",low_score_baseline
19,fragment,0.0,1.0,E,low_score_baseline
20,fragment,0.0,1.0,94,low_score_baseline
21,fragment,0.0,1.0,son was,low_score_baseline
22,fragment,0.0,1.0,Some B,low_score_baseline
23,named_entity,1.0,0.95,<s> Jack,low_score_baseline
24,fragment,0.0,1.0,of Bel,low_score_baseline
0,fragment,1.0,1.0,99,low_score_baseline
1,fragment,1.0,1.0,F,low_score_baseline
2,fragment,1.0,1.0,– November,low_score_baseline
